t,query_p,query_q,query_r
14.609999999999733,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.639999999999732,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.669999999999732,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.699999999999731,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.72999999999973,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.75999999999973,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.78999999999973,-0x1.b7790cf348217p-4,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.819999999999729,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
14.849999999999728,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
14.879999999999727,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
14.909999999999727,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
14.939999999999726,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
14.969999999999725,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
14.999999999999725,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
15.029999999999724,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
15.059999999999723,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.b2139369d8700p-10
15.089999999999723,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.29c8b459b2100p-8
15.119999999999722,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.29c8b459b2100p-8
15.149999999999721,-0x1.b7790cf348217p-4,-0x1.447c62241e5e0p-3,-0x1.29c8b459b2100p-8
